Crime,Crimes,Police Station,Crime Category,Latitude,Longitude,Year
Robbery with aggravating circumstances,624,New Brighton,Contact Crimes,-33.8994277,25.5725492,2011
Rape,189,New Brighton,Sexual Offences,-33.8994277,25.5725492,2011
Sexual Assault,2,New Brighton,Sexual Offences,-33.8994277,25.5725492,2011
Attempted Sexual Offences,9,New Brighton,Sexual Offences,-33.8994277,25.5725492,2011
Contact Sexual Offences,14,New Brighton,Sexual Offences,-33.8994277,25.5725492,2011
Carjacking,33,New Brighton,Aggravated Robbery,-33.8994277,25.5725492,2011
Robbery at residential premises,86,New Brighton,Aggravated Robbery,-33.8994277,25.5725492,2011
Robbery at non-residential premises,109,New Brighton,Aggravated Robbery,-33.8994277,25.5725492,2011
Robbery of cash in transit,0,New Brighton,Aggravated Robbery,-33.8994277,25.5725492,2011
Bank robbery,0,New Brighton,Aggravated Robbery,-33.8994277,25.5725492,2011
Truck hijacking ,1,New Brighton,Aggravated Robbery,-33.8994277,25.5725492,2011
Arson,18,New Brighton,Contact-Related Crimes,-33.8994277,25.5725492,2011
Malicious damage to property,308,New Brighton,Contact-Related Crimes,-33.8994277,25.5725492,2011
Burglary at non-residential premises,82,New Brighton,Property-Related Crimes,-33.8994277,25.5725492,2011
Burglary at residential premises,528,New Brighton,Property-Related Crimes,-33.8994277,25.5725492,2011
Theft of motor vehicle and motorcycle,76,New Brighton,Property-Related Crimes,-33.8994277,25.5725492,2011
Theft out of or from motor vehicle,130,New Brighton,Property-Related Crimes,-33.8994277,25.5725492,2011
Stock-theft,1,New Brighton,Property-Related Crimes,-33.8994277,25.5725492,2011
All theft not mentioned elsewhere,518,New Brighton,Other Serious Crimes,-33.8994277,25.5725492,2011
Commercial crime,38,New Brighton,Other Serious Crimes,-33.8994277,25.5725492,2011
Shoplifting,92,New Brighton,Other Serious Crimes,-33.8994277,25.5725492,2011
Illegal possession of firearms and ammunition,41,New Brighton,Crime detected as a result of Police Action,-33.8994277,25.5725492,2011
Drug-related crime,183,New Brighton,Crime detected as a result of Police Action,-33.8994277,25.5725492,2011
Driving under the influence of alcohol or drugs,236,New Brighton,Crime detected as a result of Police Action,-33.8994277,25.5725492,2011
Sexual Offences detected as a result of police action,0,New Brighton,Crime detected as a result of Police Action,-33.8994277,25.5725492,2011
Murder,9,Swartkops,Contact Crimes,-33.8513015,25.6041969,2011
Attempted murder,10,Swartkops,Contact Crimes,-33.8513015,25.6041969,2011
Assault with the intent to inflict grievous bodily harm,135,Swartkops,Contact Crimes,-33.8513015,25.6041969,2011
Common assault,174,Swartkops,Contact Crimes,-33.8513015,25.6041969,2011
Common robbery,29,Swartkops,Contact Crimes,-33.8513015,25.6041969,2011
Robbery with aggravating circumstances,195,Swartkops,Contact Crimes,-33.8513015,25.6041969,2011
Rape,53,Swartkops,Sexual Offences,-33.8513015,25.6041969,2011
Sexual Assault,8,Swartkops,Sexual Offences,-33.8513015,25.6041969,2011
Attempted Sexual Offences,2,Swartkops,Sexual Offences,-33.8513015,25.6041969,2011
Contact Sexual Offences,7,Swartkops,Sexual Offences,-33.8513015,25.6041969,2011
Carjacking,17,Swartkops,Aggravated Robbery,-33.8513015,25.6041969,2011
Robbery at residential premises,9,Swartkops,Aggravated Robbery,-33.8513015,25.6041969,2011
Robbery at non-residential premises,24,Swartkops,Aggravated Robbery,-33.8513015,25.6041969,2011
Robbery of cash in transit,0,Swartkops,Aggravated Robbery,-33.8513015,25.6041969,2011
Bank robbery,0,Swartkops,Aggravated Robbery,-33.8513015,25.6041969,2011
Truck hijacking ,1,Swartkops,Aggravated Robbery,-33.8513015,25.6041969,2011
Arson,5,Swartkops,Contact-Related Crimes,-33.8513015,25.6041969,2011
Malicious damage to property,111,Swartkops,Contact-Related Crimes,-33.8513015,25.6041969,2011
Burglary at non-residential premises,125,Swartkops,Property-Related Crimes,-33.8513015,25.6041969,2011
Burglary at residential premises,181,Swartkops,Property-Related Crimes,-33.8513015,25.6041969,2011
Theft of motor vehicle and motorcycle,36,Swartkops,Property-Related Crimes,-33.8513015,25.6041969,2011
Theft out of or from motor vehicle,166,Swartkops,Property-Related Crimes,-33.8513015,25.6041969,2011
Stock-theft,17,Swartkops,Property-Related Crimes,-33.8513015,25.6041969,2011
All theft not mentioned elsewhere,412,Swartkops,Other Serious Crimes,-33.8513015,25.6041969,2011
Commercial crime,40,Swartkops,Other Serious Crimes,-33.8513015,25.6041969,2011
Shoplifting,18,Swartkops,Other Serious Crimes,-33.8513015,25.6041969,2011
Illegal possession of firearms and ammunition,11,Swartkops,Crime detected as a result of Police Action,-33.8513015,25.6041969,2011
Drug-related crime,25,Swartkops,Crime detected as a result of Police Action,-33.8513015,25.6041969,2011
Driving under the influence of alcohol or drugs,265,Swartkops,Crime detected as a result of Police Action,-33.8513015,25.6041969,2011
Sexual Offences detected as a result of police action,0,Swartkops,Crime detected as a result of Police Action,-33.8513015,25.6041969,2011
Murder,5,Uitenhage,Contact Crimes,-33.765462,25.4007937,2011
Attempted murder,7,Uitenhage,Contact Crimes,-33.765462,25.4007937,2011
Assault with the intent to inflict grievous bodily harm,106,Uitenhage,Contact Crimes,-33.765462,25.4007937,2011
Common assault,213,Uitenhage,Contact Crimes,-33.765462,25.4007937,2011
Common robbery,78,Uitenhage,Contact Crimes,-33.765462,25.4007937,2011
Robbery with aggravating circumstances,124,Uitenhage,Contact Crimes,-33.765462,25.4007937,2011
Rape,36,Uitenhage,Sexual Offences,-33.765462,25.4007937,2011
Sexual Assault,10,Uitenhage,Sexual Offences,-33.765462,25.4007937,2011
Attempted Sexual Offences,2,Uitenhage,Sexual Offences,-33.765462,25.4007937,2011
Contact Sexual Offences,11,Uitenhage,Sexual Offences,-33.765462,25.4007937,2011
Carjacking,7,Uitenhage,Aggravated Robbery,-33.765462,25.4007937,2011
Robbery at residential premises,5,Uitenhage,Aggravated Robbery,-33.765462,25.4007937,2011
Robbery at non-residential premises,17,Uitenhage,Aggravated Robbery,-33.765462,25.4007937,2011
Robbery of cash in transit,0,Uitenhage,Aggravated Robbery,-33.765462,25.4007937,2011
Bank robbery,0,Uitenhage,Aggravated Robbery,-33.765462,25.4007937,2011
Truck hijacking ,0,Uitenhage,Aggravated Robbery,-33.765462,25.4007937,2011
Arson,0,Uitenhage,Contact-Related Crimes,-33.765462,25.4007937,2011
Malicious damage to property,160,Uitenhage,Contact-Related Crimes,-33.765462,25.4007937,2011
Burglary at non-residential premises,149,Uitenhage,Property-Related Crimes,-33.765462,25.4007937,2011
Burglary at residential premises,243,Uitenhage,Property-Related Crimes,-33.765462,25.4007937,2011
Theft of motor vehicle and motorcycle,103,Uitenhage,Property-Related Crimes,-33.765462,25.4007937,2011
Theft out of or from motor vehicle,277,Uitenhage,Property-Related Crimes,-33.765462,25.4007937,2011
Stock-theft,29,Uitenhage,Property-Related Crimes,-33.765462,25.4007937,2011
All theft not mentioned elsewhere,601,Uitenhage,Other Serious Crimes,-33.765462,25.4007937,2011
Commercial crime,250,Uitenhage,Other Serious Crimes,-33.765462,25.4007937,2011
Shoplifting,289,Uitenhage,Other Serious Crimes,-33.765462,25.4007937,2011
Illegal possession of firearms and ammunition,6,Uitenhage,Crime detected as a result of Police Action,-33.765462,25.4007937,2011
Drug-related crime,130,Uitenhage,Crime detected as a result of Police Action,-33.765462,25.4007937,2011
Driving under the influence of alcohol or drugs,168,Uitenhage,Crime detected as a result of Police Action,-33.765462,25.4007937,2011
Sexual Offences detected as a result of police action,0,Uitenhage,Crime detected as a result of Police Action,-33.765462,25.4007937,2011
Murder,32,Walmer,Contact Crimes,-33.9788678,25.5853756,2011
Attempted murder,7,Walmer,Contact Crimes,-33.9788678,25.5853756,2011
Assault with the intent to inflict grievous bodily harm,407,Walmer,Contact Crimes,-33.9788678,25.5853756,2011
Common assault,387,Walmer,Contact Crimes,-33.9788678,25.5853756,2011
Common robbery,64,Walmer,Contact Crimes,-33.9788678,25.5853756,2011
Robbery with aggravating circumstances,163,Walmer,Contact Crimes,-33.9788678,25.5853756,2011
Rape,82,Walmer,Sexual Offences,-33.9788678,25.5853756,2011
Sexual Assault,8,Walmer,Sexual Offences,-33.9788678,25.5853756,2011
Attempted Sexual Offences,6,Walmer,Sexual Offences,-33.9788678,25.5853756,2011
Contact Sexual Offences,5,Walmer,Sexual Offences,-33.9788678,25.5853756,2011
Carjacking,4,Walmer,Aggravated Robbery,-33.9788678,25.5853756,2011
Robbery at residential premises,19,Walmer,Aggravated Robbery,-33.9788678,25.5853756,2011
Robbery at non-residential premises,16,Walmer,Aggravated Robbery,-33.9788678,25.5853756,2011
Robbery of cash in transit,1,Walmer,Aggravated Robbery,-33.9788678,25.5853756,2011
Bank robbery,0,Walmer,Aggravated Robbery,-33.9788678,25.5853756,2011
Truck hijacking ,0,Walmer,Aggravated Robbery,-33.9788678,25.5853756,2011
Arson,20,Walmer,Contact-Related Crimes,-33.9788678,25.5853756,2011
Malicious damage to property,377,Walmer,Contact-Related Crimes,-33.9788678,25.5853756,2011
Burglary at non-residential premises,218,Walmer,Property-Related Crimes,-33.9788678,25.5853756,2011
Burglary at residential premises,785,Walmer,Property-Related Crimes,-33.9788678,25.5853756,2011
Theft of motor vehicle and motorcycle,124,Walmer,Property-Related Crimes,-33.9788678,25.5853756,2011
Theft out of or from motor vehicle,372,Walmer,Property-Related Crimes,-33.9788678,25.5853756,2011
Stock-theft,6,Walmer,Property-Related Crimes,-33.9788678,25.5853756,2011
All theft not mentioned elsewhere,882,Walmer,Other Serious Crimes,-33.9788678,25.5853756,2011
Commercial crime,149,Walmer,Other Serious Crimes,-33.9788678,25.5853756,2011
Shoplifting,208,Walmer,Other Serious Crimes,-33.9788678,25.5853756,2011
Illegal possession of firearms and ammunition,19,Walmer,Crime detected as a result of Police Action,-33.9788678,25.5853756,2011
Drug-related crime,23,Walmer,Crime detected as a result of Police Action,-33.9788678,25.5853756,2011
Driving under the influence of alcohol or drugs,199,Walmer,Crime detected as a result of Police Action,-33.9788678,25.5853756,2011
Sexual Offences detected as a result of police action,0,Walmer,Crime detected as a result of Police Action,-33.9788678,25.5853756,2011
Murder,22,Algoapark,Contact Crimes,-33.9031712,25.5704957,2012
Attempted murder,12,Algoapark,Contact Crimes,-33.9031712,25.5704957,2012
Assault with the intent to inflict grievous bodily harm,171,Algoapark,Contact Crimes,-33.9031712,25.5704957,2012
Common assault,280,Algoapark,Contact Crimes,-33.9031712,25.5704957,2012
Common robbery,60,Algoapark,Contact Crimes,-33.9031712,25.5704957,2012
Robbery with aggravating circumstances,251,Algoapark,Contact Crimes,-33.9031712,25.5704957,2012
Rape,48,Algoapark,Sexual Offences,-33.9031712,25.5704957,2012
Sexual Assault,19,Algoapark,Sexual Offences,-33.9031712,25.5704957,2012
Attempted Sexual Offences,4,Algoapark,Sexual Offences,-33.9031712,25.5704957,2012
Contact Sexual Offences,3,Algoapark,Sexual Offences,-33.9031712,25.5704957,2012
Carjacking,16,Algoapark,Aggravated Robbery,-33.9031712,25.5704957,2012
Robbery at residential premises,22,Algoapark,Aggravated Robbery,-33.9031712,25.5704957,2012
Robbery at non-residential premises,60,Algoapark,Aggravated Robbery,-33.9031712,25.5704957,2012
Robbery of cash in transit,0,Algoapark,Aggravated Robbery,-33.9031712,25.5704957,2012
Bank robbery,0,Algoapark,Aggravated Robbery,-33.9031712,25.5704957,2012
Truck hijacking ,3,Algoapark,Aggravated Robbery,-33.9031712,25.5704957,2012
Arson,7,Algoapark,Contact-Related Crimes,-33.9031712,25.5704957,2012
Malicious damage to property,250,Algoapark,Contact-Related Crimes,-33.9031712,25.5704957,2012
Burglary at non-residential premises,222,Algoapark,Property-Related Crimes,-33.9031712,25.5704957,2012
Burglary at residential premises,271,Algoapark,Property-Related Crimes,-33.9031712,25.5704957,2012
Theft of motor vehicle and motorcycle,111,Algoapark,Property-Related Crimes,-33.9031712,25.5704957,2012
Theft out of or from motor vehicle,303,Algoapark,Property-Related Crimes,-33.9031712,25.5704957,2012
Stock-theft,0,Algoapark,Property-Related Crimes,-33.9031712,25.5704957,2012
All theft not mentioned elsewhere,571,Algoapark,Other Serious Crimes,-33.9031712,25.5704957,2012
Commercial crime,66,Algoapark,Other Serious Crimes,-33.9031712,25.5704957,2012
Shoplifting,51,Algoapark,Other Serious Crimes,-33.9031712,25.5704957,2012
Illegal possession of firearms and ammunition,2,Algoapark,Crime detected as a result of Police Action,-33.9031712,25.5704957,2012
Drug-related crime,38,Algoapark,Crime detected as a result of Police Action,-33.9031712,25.5704957,2012
Driving under the influence of alcohol or drugs,145,Algoapark,Crime detected as a result of Police Action,-33.9031712,25.5704957,2012
Sexual Offences detected as a result of police action,3,Algoapark,Crime detected as a result of Police Action,-33.9031712,25.5704957,2012
Murder,66,Bethelsdorp,Contact Crimes,-33.8705197,25.5124711,2012
Attempted murder,89,Bethelsdorp,Contact Crimes,-33.8705197,25.5124711,2012
Assault with the intent to inflict grievous bodily harm,764,Bethelsdorp,Contact Crimes,-33.8705197,25.5124711,2012
Common assault,561,Bethelsdorp,Contact Crimes,-33.8705197,25.5124711,2012
Common robbery,152,Bethelsdorp,Contact Crimes,-33.8705197,25.5124711,2012
Robbery with aggravating circumstances,401,Bethelsdorp,Contact Crimes,-33.8705197,25.5124711,2012
Rape,220,Bethelsdorp,Sexual Offences,-33.8705197,25.5124711,2012
Sexual Assault,29,Bethelsdorp,Sexual Offences,-33.8705197,25.5124711,2012
Attempted Sexual Offences,17,Bethelsdorp,Sexual Offences,-33.8705197,25.5124711,2012
Contact Sexual Offences,10,Bethelsdorp,Sexual Offences,-33.8705197,25.5124711,2012
Carjacking,16,Bethelsdorp,Aggravated Robbery,-33.8705197,25.5124711,2012
Robbery at residential premises,29,Bethelsdorp,Aggravated Robbery,-33.8705197,25.5124711,2012
Robbery at non-residential premises,43,Bethelsdorp,Aggravated Robbery,-33.8705197,25.5124711,2012
Robbery of cash in transit,0,Bethelsdorp,Aggravated Robbery,-33.8705197,25.5124711,2012
Bank robbery,0,Bethelsdorp,Aggravated Robbery,-33.8705197,25.5124711,2012
Truck hijacking ,1,Bethelsdorp,Aggravated Robbery,-33.8705197,25.5124711,2012
Arson,17,Bethelsdorp,Contact-Related Crimes,-33.8705197,25.5124711,2012
Malicious damage to property,614,Bethelsdorp,Contact-Related Crimes,-33.8705197,25.5124711,2012
Burglary at non-residential premises,61,Bethelsdorp,Property-Related Crimes,-33.8705197,25.5124711,2012
Burglary at residential premises,641,Bethelsdorp,Property-Related Crimes,-33.8705197,25.5124711,2012
Theft of motor vehicle and motorcycle,63,Bethelsdorp,Property-Related Crimes,-33.8705197,25.5124711,2012
Theft out of or from motor vehicle,342,Bethelsdorp,Property-Related Crimes,-33.8705197,25.5124711,2012
Stock-theft,6,Bethelsdorp,Property-Related Crimes,-33.8705197,25.5124711,2012
All theft not mentioned elsewhere,1073,Bethelsdorp,Other Serious Crimes,-33.8705197,25.5124711,2012
Commercial crime,18,Bethelsdorp,Other Serious Crimes,-33.8705197,25.5124711,2012
Shoplifting,11,Bethelsdorp,Other Serious Crimes,-33.8705197,25.5124711,2012
Illegal possession of firearms and ammunition,60,Bethelsdorp,Crime detected as a result of Police Action,-33.8705197,25.5124711,2012
Drug-related crime,185,Bethelsdorp,Crime detected as a result of Police Action,-33.8705197,25.5124711,2012
Driving under the influence of alcohol or drugs,85,Bethelsdorp,Crime detected as a result of Police Action,-33.8705197,25.5124711,2012
Sexual Offences detected as a result of police action,0,Bethelsdorp,Crime detected as a result of Police Action,-33.8705197,25.5124711,2012
Murder,6,Despatch,Contact Crimes,-33.803171,25.472662,2012
Attempted murder,5,Despatch,Contact Crimes,-33.803171,25.472662,2012
Assault with the intent to inflict grievous bodily harm,115,Despatch,Contact Crimes,-33.803171,25.472662,2012
Common assault,131,Despatch,Contact Crimes,-33.803171,25.472662,2012
Common robbery,13,Despatch,Contact Crimes,-33.803171,25.472662,2012
Robbery with aggravating circumstances,59,Despatch,Contact Crimes,-33.803171,25.472662,2012
Rape,46,Despatch,Sexual Offences,-33.803171,25.472662,2012
Sexual Assault,3,Despatch,Sexual Offences,-33.803171,25.472662,2012
Attempted Sexual Offences,3,Despatch,Sexual Offences,-33.803171,25.472662,2012
Contact Sexual Offences,1,Despatch,Sexual Offences,-33.803171,25.472662,2012
Carjacking,4,Despatch,Aggravated Robbery,-33.803171,25.472662,2012
Robbery at residential premises,6,Despatch,Aggravated Robbery,-33.803171,25.472662,2012
Robbery at non-residential premises,20,Despatch,Aggravated Robbery,-33.803171,25.472662,2012
Robbery of cash in transit,0,Despatch,Aggravated Robbery,-33.803171,25.472662,2012
Bank robbery,0,Despatch,Aggravated Robbery,-33.803171,25.472662,2012
Truck hijacking ,1,Despatch,Aggravated Robbery,-33.803171,25.472662,2012
Arson,3,Despatch,Contact-Related Crimes,-33.803171,25.472662,2012
Malicious damage to property,74,Despatch,Contact-Related Crimes,-33.803171,25.472662,2012
